"dataset size","Random - _step","Random - _step__MIN","Random - _step__MAX","Random - log_likelihood","Random - log_likelihood__MIN","Random - log_likelihood__MAX","K2 - _step","K2 - _step__MIN","K2 - _step__MAX","K2 - log_likelihood","K2 - log_likelihood__MIN","K2 - log_likelihood__MAX","ChowLiu - _step","ChowLiu - _step__MIN","ChowLiu - _step__MAX","ChowLiu - log_likelihood","ChowLiu - log_likelihood__MIN","ChowLiu - log_likelihood__MAX","BDs - _step","BDs - _step__MIN","BDs - _step__MAX","BDs - log_likelihood","BDs - log_likelihood__MIN","BDs - log_likelihood__MAX","BIC - _step","BIC - _step__MIN","BIC - _step__MAX","BIC - log_likelihood","BIC - log_likelihood__MIN","BIC - log_likelihood__MAX"
"9500","36","36","36","-55550.9609375","-55550.9609375","-55550.9609375","36","36","36","-44253.2265625","-44253.2265625","-44253.2265625","36","36","36","-45454.125","-45454.125","-45454.125","36","36","36","-43987.1171875","-43987.1171875","-43987.1171875","36","36","36","-44377.546875","-44377.546875","-44377.546875"
"10000","37","37","37","-58148.28125","-58148.28125","-58148.28125","37","37","37","-46731.5625","-46731.5625","-46731.5625","37","37","37","-47846.73828125","-47846.73828125","-47846.73828125","37","37","37","-46393.1953125","-46393.1953125","-46393.1953125","37","37","37","-46813.05859375","-46813.05859375","-46813.05859375"
"15000","38","38","38","-88847.625","-88847.625","-88847.625","38","38","38","-69430.6640625","-69430.6640625","-69430.6640625","38","38","38","-71636.96875","-71636.96875","-71636.96875","38","38","38","-69339.8828125","-69339.8828125","-69339.8828125","38","38","38","-69409.0390625","-69409.0390625","-69409.0390625"
"20000","39","39","39","-115915.6484375","-115915.6484375","-115915.6484375","39","39","39","-92376.9140625","-92376.9140625","-92376.9140625","39","39","39","-95528.359375","-95528.359375","-95528.359375","39","39","39","-91382.578125","-91382.578125","-91382.578125","39","39","39","-92275.8203125","-92275.8203125","-92275.8203125"
"25000","40","40","40","-146605.0625","-146605.0625","-146605.0625","40","40","40","-114089.671875","-114089.671875","-114089.671875","40","40","40","-119456.6015625","-119456.6015625","-119456.6015625","40","40","40","-113726.1875","-113726.1875","-113726.1875","40","40","40","-115278.421875","-115278.421875","-115278.421875"
"30000","41","41","41","-176116.84375","-176116.84375","-176116.84375","41","41","41","-136983","-136983","-136983","41","41","41","-143055.265625","-143055.265625","-143055.265625","41","41","41","-136723.578125","-136723.578125","-136723.578125","41","41","41","-137331.328125","-137331.328125","-137331.328125"
"35000","42","42","42","-201304.671875","-201304.671875","-201304.671875","42","42","42","-159665.9375","-159665.9375","-159665.9375","42","42","42","-166798.859375","-166798.859375","-166798.859375","42","42","42","-158800.84375","-158800.84375","-158800.84375","42","42","42","-160203.4375","-160203.4375","-160203.4375"
"40000","43","43","43","-231677.953125","-231677.953125","-231677.953125","43","43","43","-182183.40625","-182183.40625","-182183.40625","43","43","43","-190691.265625","-190691.265625","-190691.265625","43","43","43","-181289.59375","-181289.59375","-181289.59375","43","43","43","-182111.546875","-182111.546875","-182111.546875"
"45000","44","44","44","-254682.375","-254682.375","-254682.375","44","44","44","-204050.546875","-204050.546875","-204050.546875","44","44","44","-214621.09375","-214621.09375","-214621.09375","44","44","44","-203655.671875","-203655.671875","-203655.671875","44","44","44","-205562.40625","-205562.40625","-205562.40625"
"50000","45","45","45","-291295.0625","-291295.0625","-291295.0625","45","45","45","-226933.921875","-226933.921875","-226933.921875","45","45","45","-238669.40625","-238669.40625","-238669.40625","45","45","45","-225773.65625","-225773.65625","-225773.65625","45","45","45","-228989.046875","-228989.046875","-228989.046875"
"55000","46","46","46","-321989.1875","-321989.1875","-321989.1875","46","46","46","-249102.09375","-249102.09375","-249102.09375","46","46","46","-262526.03125","-262526.03125","-262526.03125","46","46","46","-247883.453125","-247883.453125","-247883.453125","46","46","46","-250845.671875","-250845.671875","-250845.671875"
"60000","47","47","47","-346915.09375","-346915.09375","-346915.09375","47","47","47","-271674.4375","-271674.4375","-271674.4375","47","47","47","-286196.90625","-286196.90625","-286196.90625","47","47","47","-271007.375","-271007.375","-271007.375","47","47","47","-273217","-273217","-273217"
"65000","48","48","48","-375604.0625","-375604.0625","-375604.0625","48","48","48","-294639.25","-294639.25","-294639.25","48","48","48","-310009.15625","-310009.15625","-310009.15625","48","48","48","-292793.875","-292793.875","-292793.875","48","48","48","-295566.4375","-295566.4375","-295566.4375"
"70000","49","49","49","-409520.5","-409520.5","-409520.5","49","49","49","-316374.09375","-316374.09375","-316374.09375","49","49","49","-333512.0625","-333512.0625","-333512.0625","49","49","49","-315496.125","-315496.125","-315496.125","49","49","49","-318429.5","-318429.5","-318429.5"
"75000","50","50","50","-436727.0625","-436727.0625","-436727.0625","50","50","50","-338194.1875","-338194.1875","-338194.1875","50","50","50","-357688.84375","-357688.84375","-357688.84375","50","50","50","-338237.59375","-338237.59375","-338237.59375","50","50","50","-340267.5","-340267.5","-340267.5"
"80000","51","51","51","-462926.3125","-462926.3125","-462926.3125","51","51","51","-361536.78125","-361536.78125","-361536.78125","51","51","51","-381470.59375","-381470.59375","-381470.59375","51","51","51","-359649.34375","-359649.34375","-359649.34375","51","51","51","-363351.28125","-363351.28125","-363351.28125"
"85000","52","52","52","-484736.0625","-484736.0625","-484736.0625","52","52","52","-384197.65625","-384197.65625","-384197.65625","52","52","52","-405005.9375","-405005.9375","-405005.9375","52","52","52","-382281.6875","-382281.6875","-382281.6875","52","52","52","-386255.59375","-386255.59375","-386255.59375"
"90000","53","53","53","-523012.1875","-523012.1875","-523012.1875","53","53","53","-405627.34375","-405627.34375","-405627.34375","53","53","53","-429322","-429322","-429322","53","53","53","-403866.5","-403866.5","-403866.5","53","53","53","-407530.5","-407530.5","-407530.5"
"95000","54","54","54","-548422.625","-548422.625","-548422.625","54","54","54","-428327.15625","-428327.15625","-428327.15625","54","54","54","-453174","-453174","-453174","54","54","54","-426553.9375","-426553.9375","-426553.9375","54","54","54","-431227.84375","-431227.84375","-431227.84375"
"100000","55","55","55","-584894.125","-584894.125","-584894.125","55","55","55","-451010.15625","-451010.15625","-451010.15625","55","55","55","-476480.34375","-476480.34375","-476480.34375","55","55","55","-448225.5625","-448225.5625","-448225.5625","55","55","55","-453663.34375","-453663.34375","-453663.34375"
"105000","56","56","56","-599600.4375","-599600.4375","-599600.4375","56","56","56","-472982.15625","-472982.15625","-472982.15625","56","56","56","-500991.5","-500991.5","-500991.5","56","56","56","-470878.25","-470878.25","-470878.25","56","56","56","-475766.59375","-475766.59375","-475766.59375"
